TIMESTAMP	HEAD He3	HEAD He4	PUMP He3	SWITCH He3	PUMP He4	SWITCH He4
1709623946	28.46	20.14	4.45	4.43	4.61	4.41
1709623947	28.45	20.15	4.45	4.43	4.61	4.41
1709623948	28.43	20.13	4.45	4.43	4.61	4.41
1709623949	28.46	20.13	4.45	4.43	4.61	4.41
1709623950	28.39	20.13	4.45	4.43	4.61	4.41
1709623951	28.50	20.12	4.45	4.43	4.61	4.41
1709623952	28.38	20.14	4.45	4.43	4.61	4.41
1709623953	28.54	20.14	4.45	4.43	4.61	4.41
1709623954	28.52	20.14	4.45	4.43	4.61	4.41
1709623955	28.44	20.13	4.45	4.43	4.61	4.41
1709623956	28.56	20.14	4.45	4.43	4.61	4.41
1709623957	28.44	20.13	4.45	4.43	4.61	4.41
1709623958	28.51	20.13	4.45	4.43	4.61	4.41
1709623959	28.27	20.14	4.45	4.43	4.61	4.41
1709623960	28.43	20.14	4.45	4.43	4.61	4.41
1709623961	28.46	20.13	4.45	4.43	4.61	4.41
1709623962	28.46	20.13	4.45	4.43	4.61	4.41
1709623963	28.36	20.13	4.45	4.43	4.61	4.41
1709623964	28.50	20.12	4.45	4.43	4.61	4.41
1709623965	28.34	20.12	4.45	4.43	4.61	4.41
1709623966	28.39	20.14	4.45	4.43	4.61	4.41
1709623967	28.55	20.13	4.45	4.43	4.61	4.41
1709623968	28.33	20.13	4.45	4.43	4.61	4.41
1709623969	28.42	20.14	4.45	4.43	4.61	4.41
1709623970	28.50	20.13	4.45	4.43	4.61	4.41
1709623971	28.36	20.11	4.45	4.43	4.61	4.41
1709623972	28.39	20.12	4.45	4.43	4.61	4.41
1709623973	28.42	20.14	4.45	4.43	4.61	4.41
1709623974	28.49	20.11	4.45	4.43	4.61	4.41
1709623975	28.54	20.11	4.45	4.43	4.61	4.41
1709623976	28.54	20.13	4.45	4.43	4.61	4.41
1709623977	28.42	20.13	4.45	4.43	4.61	4.41
1709623978	28.45	20.12	4.45	4.43	4.61	4.41
1709623979	28.36	20.15	4.45	4.43	4.61	4.41
1709623980	28.57	20.15	4.45	4.43	4.61	4.41
1709623981	28.45	20.14	4.45	4.43	4.61	4.41
