TIMESTAMP	HEAD He3	PUMP He3	SWITCH He3	HEAD He4	PUMP He4	SWITCH He4	Cernox	OUT1 [PHe3]	OUT2 [PHe4]	OUT3 [SHe3]	OUT4 [SHe4]
1729604585	294.029	290.226	290.435	300.000	290.505	290.233	284.544	0	0	0	0
1729604586	293.563	290.226	290.435	300.000	290.505	290.233	284.472	0	0	0	0
1729604587	298.579	290.226	290.435	300.000	290.505	290.233	284.314	0	0	0	0
1729604588	291.432	290.226	290.435	300.000	290.505	290.233	284.306	0	0	0	0
1729604589	290.278	290.226	290.435	300.000	290.505	290.233	284.172	0	0	0	0
1729604590	294.140	290.226	290.435	300.000	290.505	290.233	284.077	0	0	0	0
1729604591	291.698	290.226	290.435	300.000	290.505	290.233	284.088	0	0	0	0
1729604592	291.165	290.226	290.435	300.000	290.505	290.234	283.905	0	0	0	0
1729604593	290.255	290.226	290.435	300.000	290.505	290.234	283.956	0	0	0	0
1729604594	293.674	290.226	290.435	300.000	290.505	290.233	283.847	0	0	0	0
1729604595	291.965	290.226	290.435	300.000	290.505	290.234	283.744	0	0	0	0
1729604596	293.984	290.226	290.435	300.000	290.505	290.233	283.841	0	0	0	0
1729604597	299.268	290.225	290.435	300.000	290.504	290.234	283.727	0	0	0	0
1729604598	289.390	290.226	290.435	300.000	290.504	290.234	283.486	0	0	0	0
1729604599	295.294	290.225	290.435	300.000	290.504	290.234	283.421	0	0	0	0
1729604600	294.162	290.225	290.435	300.000	290.504	290.234	283.400	0	0	0	0
1729604601	293.563	290.225	290.435	300.000	290.504	290.234	283.276	0	0	0	0
1729604602	299.090	290.225	290.435	300.000	290.504	290.234	283.192	0	0	0	0
1729604603	296.049	290.225	290.435	300.000	290.504	290.234	283.242	0	0	0	0
1729604604	295.694	290.225	290.435	300.000	290.504	290.233	283.066	0	0	0	0
1729604605	294.206	290.225	290.435	300.000	290.504	290.233	282.982	0	0	0	0
1729604606	293.940	290.225	290.435	300.000	290.504	290.233	282.838	0	0	0	0
1729604607	295.871	290.225	290.435	300.000	290.504	290.233	282.799	0	0	0	0
1729604608	292.253	290.225	290.435	300.000	290.504	290.233	282.710	0	0	0	0
1729604609	296.781	290.225	290.435	300.000	290.504	290.233	282.591	0	0	0	0
1729604610	295.561	290.225	290.435	300.000	290.504	290.233	282.569	0	0	0	0
1729604611	290.655	290.225	290.435	300.000	290.504	290.233	282.533	0	0	0	0
1729604612	292.608	290.225	290.435	300.000	290.504	290.233	282.487	0	0	0	0
1729604613	291.321	290.224	290.434	300.000	290.503	290.233	282.380	0	0	0	0
1729604614	293.607	290.224	290.434	300.000	290.503	290.233	282.311	0	0	0	0
1729604615	293.074	290.225	290.435	300.000	290.503	290.234	282.256	0	0	0	0
1729604616	292.875	290.225	290.435	300.000	290.503	290.234	282.230	0	0	0	0
1729604617	293.163	290.225	290.435	300.000	290.503	290.234	282.144	0	0	0	0
1729604618	292.808	290.225	290.435	300.000	290.503	290.234	282.083	0	0	0	0
1729604619	293.652	290.225	290.435	300.000	290.503	290.234	282.017	0	0	0	0
1729604620	292.741	290.225	290.435	300.000	290.503	290.234	281.965	0	0	0	0
1729604621	296.604	290.225	290.435	300.000	290.503	290.234	281.769	0	0	0	0
1729604622	291.920	290.225	290.435	300.000	290.503	290.234	281.717	0	0	0	0
